		For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Choose the category of statement	Choose the category of comments	For scoring a given reviewer								For scoring a given reviewer								Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree
439-Paper1835	Multi-IMU with Online Self-Consistency for Freehand 3D Ultrasound Reconstruction	The dataset is not public and it seems it is not going to be made public. This is a downside.								The method seems quite difficult to implement. There is not enough information in the paper to reproduce it, specially the network architecture. Authors claim they will free the code which is very positive but even if the code is available the use of 4 sensors introduces many sources of error during testing. Even if other reseachers achieve to get good pre-calibrated values for the IMU, how do they make a good training? Which is the quality of your Imu data?								The reproducibility of the paper is unclear.											0	0	0	0	0	0	
440-Paper1341	Multimodal brain age estimation using interpretable adaptive population-graph learning	The hyperparameters of proposed model are clearly claimed and most of settings about baselines are claimed. And code will be publicly available.								The paper utilizes the UK Biobank dataset that is a large dataset and available upon applying as a researcher. The authors state that their code will be available. Adequate details on the architecture as well as experimental procedures are presented in the paper								1) The paper provides a detailed description of the proposed method, including the architecture of the graph construction and the graph convolutional network (GCN).  2) The dataset used for evaluation, the UK Biobank (UKBB), is a well-known and widely used dataset in the medical imaging domain.  3) The paper presents clear evaluation metrics (MAE, r score, accuracy, AUC, F1-score) and compares the proposed method to relevant baselines.  4) The authors describe the implementation details, including the GCN architecture, optimizer, learning rate, and the number of epochs.  5) The ablation studies give additional insight into the method's performance under different conditions, enhancing the understanding of the method's behavior.  6) The exact dataset split (i.e., subject IDs) used for training, validation, and test sets is provided.  7) The code for the implementation will be made publicly available.											0	0	0	0	0	0	
441-Paper3254	Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk	Implementation details are disclosed in the paper. In particular, the architecture based on nnUNet can be easily reproduced.  Apart the PDDCA dataset which is publicly-available, either the code nor the data will be disclosed.								Considering the limited word count of the manuscript, the provided descriptions are satisfactory to replicate the model given the fact that the model was constructed within nnUNet framework. Sufficient details about the results quantification were provided.								The used dataset is private, nonetheless an evaluation on a public dataset is done. The authors claim in their reproducibility response to provide access to the code which is helpful to get the parametrization of the nnUnet used for the training, as it is dataset dependent. Without the code and the paper only it would be hard to reproduce exact results.											0	0	0	0	0	0	
442-Paper2572	Multimodal Deep Fusion in Hyperbolic Space for Mild Cognitive Impairment Study	I think it is reproducible. The supllementary material has also been provided.								YES								Code related to this workwill release if this work is accepted											0	0	0	0	0	0	
443-Paper0314	Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis	The experimental data are from the public challenges. The authors say the code will be made available.								The authors did provide a complete information to reproduce the experiment. Only tiny missing detail is the learning rate decay strategy for HER2 staining image generation task.								The paper does not contain any information about releasing the code. Some details about the method implementation have been reduced but more information will be needed for reproducibility.											0	0	0	0	0	0	
444-Paper0826	Multi-Modal Semi-supervised Evidential Recycle Framework for Alzheimer's Disease Classification	It would be helpful if you could provide more information about the data used in your study, including the data collection procedures, data cleaning and preprocessing methods, and any relevant information about the variables used in the analysis. By including this information, you can increase the transparency and credibility of your research and allow other researchers to build upon your work								No code provided, so hard to comment on reproducibility of the paper.								reproducibility on the public dataset in this study should be excellent if the code is made available											0	0	0	0	0	0	
445-Paper2360	Multi-modal Variational Autoencoders for normative modelling across multiple imaging modalities	The code is given and the datasets can be accessed so it should be easy to reproduce this work.								Satisfactory								Code is available with clear instructions.											0	0	0	0	0	0	
446-Paper0803	Multi-modality contrastive learning for sarcopenia screening from hip X-rays and clinical information	The paper seems to be reproducible since it is clearly written, and the authors have shown the implementation details. Also, the authors intend to release the code. The authors did not mention if the dataset used for evaluation will be released.								The paper uses in-house dataset.								If the authors will share the code, as announced in the paper, it should be possible to reproduce the results.											0	0	0	0	0	0	
447-Paper2014	Multi-objective point cloud autoencoders for explainable myocardial infarction prediction	The paper can be reproduced								Good reproducibility of the paper								The authors provided details about the data and cases selected from the UK Biobank. They also provide hyperparameters of the DNN used during training.											0	0	0	0	0	0	
448-Paper0738	Multi-perspective Adaptive Iteration Network for Metal Artifact Reduction	The authors have provided sufficient details on the proposed method's implementation and evaluation, which should allow for reproducibility of the experiments. The authors plan to provide the code for the proposed method in the future. In the paper, they describe the datasets, experimental setup, and parameters used in detail. Additionally, they reported quantitative results and provided visual comparisons with existing methods. Overall, this information can aid other researchers in recreating and evaluating the proposed method on different datasets.								This paper's methodology appears to be reproducible. While the authors did not include the code, they provided comprehensive details on the model, dataset, and evaluation. Therefore, the work seems to be replicable to a significant extent. Moreover, the authors plan to provide the code for the proposed method in the future.								The authors have filled out the reproducibility form.											0	0	0	0	0	0	
449-Paper1294	Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models	Given that the authors enough implemental details, the datasets are publicly available, and the description in method section is clear, the reproducibility of the paper is ensured.								The work was evaluated on a publicly available dataset. According to the checklist, code will be released after acceptance. This information is not included in the paper.								It is not mentioned anywhere in the paper whether the code will be open-sourced. At the same time, many finer details about the ensemble clustering, language based fusion are not provided and without them the results cannot be reproduced.											0	0	0	0	0	0	
450-Paper0483	Multi-scale Cross-restoration Framework for Electrocardiogram Anomaly Detection	The authors have mentioned that the benchmark dataset and code will be made available.   They use public datasets to test the proposed method.								The proposed benchmark dataset and source code will be made publicly avilable.								Very good. The benchmark dataset and source code will be made publicly available.											0	0	0	0	0	0	
451-Paper1496	Multi-Scale Prototypical Transformer for Whole Slide Image Classification	The authors promised source code and pre-trained models								The main idea should be easy to implement and the datasets are public.								Yes, the authors provide experimental settings that are detailed and can be reproduced.											0	0	0	0	0	0	
452-Paper3115	Multi-Scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision	To reiterate, although the main factors contributing to the performance improvement are not entirely clear, if adequately addressed and clarified during the revision process, the results seem to be reproducible.								Models were trained on a private dataset, testing was performed on two public datasets.  Code of the model has not been maid available.								reproduciable											0	0	0	0	0	0	
453-Paper2784	Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image based Cancer Survival Prediction	The authors provide some descriptions on the hyper paramters used and the public datasets. However, some details on the specific GCN and  transformer are missing. For example what is th non linearity used in the GCN layer? what is the number of ehads in the transoformer?  The authors also provide a repo with code, which is interesting; however, when looking at it in detail, it is currently in an  unusable way because there are no details on how to run the code, some scripts seem to be missing e.g. in the run.sh  the scripts interpretable_transformer.py and graph_transformer.py are mentioned but are not available in the repo.								The authors are providing code so this should be reproducible.								The code was already made publicly available, indicating a potential high reproducibility.											0	0	0	0	0	0	
454-Paper2315	Multi-shot Prototype Contrastive Learning and Semantic Reasoning for Medical Image Segmentation	Good reproducibility								The method seems relatively straightforward and the pipeline is not overly complicated. Additionally, code is made available and all datasets are public, so there should be no concerns regarding reproducibility.								Given the availability of code, it appears that reproducibility of the presented results could be relatively straightforward.											0	0	0	0	0	0	
455-Paper1663	MultiTalent: A Multi-Dataset Approach to Medical Image Segmentation	This work has great reproducibility since the datasets are publicly available and the method description is clear.								Yes, I believe the paper can be reproduced.								easy to reimplement											0	0	0	0	0	0	
456-Paper0968	Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation	In its current form, this work is not reproducible. The authors claimed that they will release their code if accepted.								The authors promise to share the code as well as the dataset upon acceptance.								The authors claimed that they will release the source code upon publication. There is no clear declaration of what software frameworks and versions used. Descriptions are lacking necessary details for reproducibility.											0	0	0	0	0	0	
457-Paper2485	Multi-task Joint Prediction of Infant Cortical Morphological and Cognitive Development	The authors did not provide the source code.   But the authors clearly described the building blocks and loss function used in the paper.								The authors go at lengths to provide verbal descriptions of the used underlying developments, and explaining the organization of their framework. No source code is provided. Thus, the reproducibility can be estimated as slightly above average.								Tested on a public dataset, and the authors have mentioned in the reproducibility checklist that the codes will be made available.											0	0	0	0	0	0	
458-Paper2548	Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma	I rate the reproducibility of this work high. It is the highest of the 5 papers I've reviewed. The supplemental material (including code) is complete. Some of the weaknesses in the presentation of the methods could hinder some attempts at reproducing.								The reproducibility of the paper seems to be guaranteed due to the availability of the source codes and datasets.								The author submitted the code as a separate attachment, ensuring the good reproducibility of the article.											0	0	0	0	0	0	
459-Paper2095	Multi-view Guidance for Self-supervised Monocular Depth Estimation on Laparoscopic Images via Spatio-temporal Correspondence	The four backbone networks are not clearly referenced. Considering the complicated structure and heavy hyperparameters, this manuscript is very difficult to reproduce.								The author provides the code of the proposed method.								The paper should be reproducible given that the paper is clearly written with enough details.											0	0	0	0	0	0	
460-Paper0534	Multi-View Vertebra Localization and Identification from CT Images	While authors made the effort to provide "Implementation Details" (Sec 3.2 could go to Sup Mat), it would be hard to reproduce results without the code:    the contrastive learning has several hyperparameters not detailed  how the views are rendered is not precisely described  the implementation of the sequential loss would not be straightforward								good things about reproducibility  o open datasts used  o objective function and training are well described  o preproccessing and post-processing are well described  limiting the ability to reproduce  o code not provided								The authors have used a public dataset (VerSe) for their evaluation.  Since the pipeline is complex, it would really be beneficial to have the authors' code in order to be able to reproduce the results.  The reproducibility checklist filled by the authors does state that the code will be released but:    the submission/paper does not mention it;  some answers of the reproducibility checklist seem inaccurate (for instance error bars, runtime, memory footprint, etc... were claimed to be reported but actually were not) so I am not sure how this can be trusted.											0	0	0	0	0	0	
461-Paper2286	MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis	The authors use an internal dataset. In the checklist, they select to provide the codes, data, and model. However, these informations do not appear in the paper.								N/A								I believe that this paper has the potential to contribute to the community through its reproducibility, especially if the authors open-source their code and software. This would allow other researchers to easily replicate their results and build upon their findings.											0	0	0	0	0	0	
462-Paper3175	NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models	The paper is somewhat reproducible, since the authors use a public dataset and they provide enough details of the implementation and promise to make the code public.								Sufficient detail to reproduce.								The reproducibility is good.											0	0	0	0	0	0	
463-Paper0518	Neural LerPlane Representations for Fast 4D Reconstruction of Deformable Tissues	Availability of source code and data sets:   Since the authors indicated that their source code incl. used datasets will be released if this work is accepted, they should provide specific details such as links to a github repo (or similar) and their data sets before this paper is accepted. In section 3.2, on page 7, the authors wrote "The code will be released later." This sentence is not clear since it can mean that the code will be released before the paper is published, or the code will maybe be released after the paper is published. The sentence should be changed in order to provide the reader with clearer information.    Implementation details:  1.) In section 3.2 on page 7 the concrete Ubuntu version should be mentioned.   2.) On a positive note, concrete values of neural network hyper-parameters are described which increases reproducibility.								The key point of this work is clear. The technical route of the design is also clear, and it can be reproducible.																			0	0	0	0	0	0	
464-Paper1757	Neural Pre-Processing: A Learning Framework for End-to-end Brain MRI Pre-processing	The authors used public datasets, provide their code to the reviewer and give their training parameters. Therefore their method is fully reproducible.								The paper should be reproducible, as the authors mentions that they will make the code publicly available. The paper uses all publicly available datasets.								The reproducibility of this work is hard to achieve, specially the preprocessed dataset.											0	0	0	0	0	0	
465-Paper0596	NeuroExplainer: Fine-Grained Attention Decoding to Uncover Cortical Development Patterns of Preterm Infants	Currently reproducing these results would not be straightforward.  The authors should release a link to code  The authors should fix their notation, in the absence of code this needs to be much clearer.  The authors should give more details about the data set and which examples were used for train and test. As dHCP is open this could be released with the code.								The method is reproducible if the code made public.								Could be reproduced upon released codes and data.											0	0	0	0	0	0	
466-Paper3205	NISF: Neural Implicit Segmentation Functions	The paper is written clearly and has enough information to reproduce								The paper appears to be reproducible, as it utilizes a publicly available dataset and presents a method that is relatively straightforward to implement.  However, it would be better to have other datasets with segmentations from human experts.								As stated in the weaknesses, the network architecture is not fully described.											0	0	0	0	0	0	
467-Paper0754	Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising	The proposed method seems easy to be implemented in any backbones.								This work is reproducible.								This paper uses public datasets and the baseline network is currently publicly available. The description of the method is relatively clear and the framework is easy to reproduce.											0	0	0	0	0	0	
468-Paper2943	Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT	This paper has a good reproducibility.  The methods are well described and the application of one free available dataset makes is possible to compare results for other algorithms in the future.  One aspect that could improve the reproducibility is that although the methods are very well described, they are described in a very theoretical way which may difficult its replicability for others. If the code is released in the future, it may help to overcome this issue.								The paper has provided sufficient details.								OK (no comment is made about whether code will be made publicly available).											0	0	0	0	0	0	
469-Paper2654	Non-iterative Coarse-to-fine Transformer Networks for Joint Affine and Deformable Image Registration	The answers made in this list seems to be mostly correct.  However, sometimes the authors say not applicable and I don't understand why this point for example is not applicable:  An analysis of situations in which the method failed.  [Not Applicable]								The code will be released if accepted, the baseline method implementation are already available online and the evaluation relies on public dataset.								Very good											0	0	0	0	0	0	
470-Paper1059	Nonuniformly Spaced Control Points based on Variational Cardiac Image Registration	The datasets used for evaluation are publicly available.  The details given in the paper are confusing and I do not feel able to exactly reimplement the proposed method even taking VoxelMorphDiff codes as starting point.  For the evaluation, the authors provided a clear description of metrics and tendency. Statistical significance was stated when needed.  The time and memory complexity of the proposed method are not given.  The clinical significance of the method can be inferred from the introduction. However, the proposed method needs further validation in more different datasets for considering moving to clinical application.								The reproducibility is average with some missing details, but the author declares to provide the training code and testing modes, which seems promising.								More details are needed to completely reproduce the presented method.											0	0	0	0	0	0	
471-Paper3365	On the Relevance of Temporal Features for Medical Ultrasound Video Recognition	Software will be published open source and is therefore reproducible.								Should be okay if code is provided.								NA											0	0	0	0	0	0	
472-Paper2006	One-shot Federated Learning on Medical Data using Knowledge Distillation with Image Synthesis and Client Model Adaptation	Most implementation details are presented.								Public datasets were used and data should be released. Should report confidence intervals to see if results are statistically signficant.								Appears to be reproducible.											0	0	0	0	0	0	
473-Paper0652	One-Shot Traumatic Brain Segmentation with Adversarial Training and Uncertainty Rectification	In-house data are utilized. It is suggested to make the codes publicly available if the paper is accepted for publication to ensure reproducibility.								The network structure is quite complex, which is difficult to reimplement and reproduce the results from scratch.								The authors have not released the data and code yet. Even though the manuscript is presented well, there may be some difficulty in reproducing the work since the method itself is complicated.											0	0	0	0	0	0	
474-Paper0081	OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification	In terms of reproducibility, the paper seems to be reasonably well-documented and could potentially be reproduced by other researchers. Authors include details on the hyperparameter settings, such as the number of epochs, optimizer, momentum, weight decay, initial learning rate, and batch size, which are important details for the reproducibility of the experiments.								The paper appears to be reproducible because the authors have stated that the code will be made available and the experiments are based on a publicly available dataset. This means that other researchers can access and verify the results presented in the paper.								The idea of this paper can be reproduced by following the paper, the evaluation dataset is public, and their code will be released.											0	0	0	0	0	0	
475-Paper2884	Open-Ended Medical Visual Question Answering Through Prefix Tuning of Language Models	The proposed method is not difficult to understand and has been clearly described in this paper. This work plans to make the code of this paper publicly available. The reproducibility shall not be an issue.								It is mentioned that the code will be made publicly available.  However, some details should be mentioned more explicitly: for example, how were positional embeddings and token types handled in the language model?								Code will be made available, and the datasets are public.											0	0	0	0	0	0	
476-Paper2895	Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue	The OCE probe design and the experimental setup can be easily reproduced based on the detailed descriptions in the manuscript. However, the data processing scheme lacks clarity due to the inappropriate usage of notations.								I think that as long as one remains on a purely elastic, highly linear and non-viscous (and a fortiori very homogeneous) gel, the approach works very well and I consider it to be highly relevant, very well thought out and very well done. However, I have serious reservations about its application and reproducibility on liver tissue, whether ex or in vivo (for the reasons previously mentioned in the limiting points). In my opinion, the proofs as to the reproducibility on liver tissue (or in a general way on biological tissue) remain entirely to be made (even if this first very preliminary stage on gel remains obviously necessary).  To sum up: the tests presented here are clearly enough to be completely reproducible, but in my opinion not yet proven to be exportable on biological tissue, and in the first place in the liver (which remains the first stated objective).								Not be able to comment since this is mainly an engineering and hardware work.											0	0	0	0	0	0	
477-Paper3392	Optical Ultrasound Imaging for Endovascular Repair of Abdominal Aortic Aneurysms: A Pilot Study	Since the paper is very clear, the only aspects that complicate reproducibility are the effort involved in creating such an OpUS catheter, benchtop experimental setup and animal experimental setup. All of these are simply intinsic to the presented work.								As mentioned, this paper is clearly presented with a good problem definition, literature review and assessment of results plus suggestions for next steps. The experiments appear reproduceable.								Re-implementing this design may not be easy for individuals. However, if this design is ready for wide-scale manufacturing in the future, it would have a high clinical impact.											0	0	0	0	0	0	
478-Paper2383	Optimizing the 3D Plate Shape for Proximal Humerus Fractures	good things about reproducibility  o the paper uses established methods  o the paper has extensive supplemental material  limiting the ability to reproduce  o a closed dataset is used  o many aspects of the data processing, organization and algorithm lack sufficient detail for reproducibility								Datasets are not available.  Source code is not available.  Implementation details are partially described.								No codes provided in the supplimentary.											0	0	0	0	0	0	
479-Paper2161	Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping	The data, experiments and evaluation are documented very well.								The data used were clearly described in their composition and the subjected imaged, and the preprocessing applied are clearly outlined. The feature generation is clearly described with details of the methodology, and the deep learning model used is noted. The authors note that the code will be released upon acceptance.								May be reproducible given hyper parameters											0	0	0	0	0	0	
480-Paper0904	Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction like Radiologists	The reproducibility seems OK. It would also be valuable if they made the dataset with annotations available.								Enough details are provided for reproducing the paper.								The experimental settings and some parameters are not defined.											0	0	0	0	0	0	
481-Paper1049	Partial Vessels Annotation-based Coronary Artery Segmentation with Self-training and Prototype Learning	The code is claimed open yet and the dataset used remains private.								The manuscript includes details on the implementation, parameters and hardware used. Additoinal details on the dataset characteristics and ethics would be useful.								The dataset is private and the code and model are not released.  The exact model architecture is not provided. Not a problem if code is released.  Hyper-parameter strategy is not mentioned, but maybe no hyper-parameter search was performed (which would be fine)  Time/cost/memory not reported  No statistical significance tests											0	0	0	0	0	0	
482-Paper2606	Partially Supervised Multi-Organ Segmentation via Affinity-aware Consistency Learning and Cross Site Feature Alignment	The method is not easy to implement simply based on the paper. The authors claim they'll release codes in the future.								It is difficult to fully reproduce the work as its own dataset split is used.								The idea of the paper is clear and not hard to follow. The authors also claim clearly in the reproducability statement that the code will be released. Hence, the reproducability of this paper should be good.											0	0	0	0	0	0	
483-Paper2143	PAS-Net: Rapid Prediction of Antibiotic Susceptibility from Fluorescence Images of Bacterial Cells Using Parallel Dual-branch Network	Not sure if the work is reproducible, the paper is clearly written but authors do not provide the code. It would require some effort to code it from scratch and probably make a few assumptions.								According to the answers to the reproducibility checklist, there will be no code to be released, which makes the reproducibility of the paper a little challenge.								Acceptable											0	0	0	0	0	0	
484-Paper2294	Path-based Heterogeneous Brain Transformer Network for Resting-State Functional Connectivity Analysis	This manuscript seems to stack path convolution and transform which are from the existing methods. The details of the method are not clear. It is hard to perform the reproducibility of the paper.								The model detail is enough.								The authors do not provide the details on reproducibility.											0	0	0	0	0	0	
485-Paper1847	Pathology-and-genomics Multimodal Transformer for Survival Outcome Prediction	The authors mentioned that the code will be publicly available.								The authors provide information on the public repository for the datasets they gathered for this study as well as description of the preprocessing steps. They also state that their code will be available once their paper is published.								With the source code release, paper has sufficient details for reproducibility. Datasets used (TCGA) are publicly available.											0	0	0	0	0	0	
486-Paper0295	Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis	I think this paper is easily reproduced.								The author cannot publish the code of the proposed method. I recommend the author to add the detail of the implementation to the supplementary material. For example, the numbers of the network layers, the equation of the loss function.								The paper is more reproducible but still needs to clarify certain specific implementations, such as the number of transformer blocks used.											0	0	0	0	0	0	
487-Paper3291	PCMC-T1: Free-breathing myocardial T1 mapping with Physically-Constrained Motion Correction	The authors stated that "Our code and trained models will be made publicly available  upon acceptance".								Given the author's statement on reproducibility in the last sentence of the abstract, reproducibility is not a major concern.								The manuscript mentions the code will be available in a repository and the checklist supports this statement. Once uploaded, it will guarantee reproducibility.											0	0	0	0	0	0	
488-Paper0871	Pelphix: Surgical Phase Recognition from X-ray Images in Percutaneous Pelvic Fixation	The authors state they will make their code and data available. I do not see any problem with the reproducibility of the work.								The authors have stated that their code and data will be made available, but no timeframe is provided.								The authors have made a good effort to describe their methods in detail. But without source code, such a complex methodology is impossible to reproduce. I hope I didn't miss anything because the authors answered all reproducibility questions with a "yes". However, I could not find any references to either source code or data.											0	0	0	0	0	0	
489-Paper1608	Pelvic Fracture Reduction Planning Based on Morphable Models and Structural Constraints	The manuscript gives sufficient details to reproduce the proposed method. Data for the generation of the statistical shape models are publicly available, and the author(s) also published the data used for the clinical study. I, therefore, believe the work has a very high reproducibility.								Reproducibility of the work is difficult if not impossible since the method is not clearly described.								The data will be published but not the code. It is difficult to say how easy it will be to reproduce the exact results by re-implementing the GPMM. Statistical test were provided along with boxplots showing the error distributions.											0	0	0	0	0	0	
490-Paper1597	Pelvic Fracture Segmentation Using a Multi-scale Distance-weighted Neural Network	Code will be made available, and the CTPelvic1K dataset is public. I encourage the authors to make their annotations of fractures available.								Paper is reproducable.								The dataset is in-house due to the unavailability of relevant annotations. The code has been published online. The employed hyper-parameters are given.											0	0	0	0	0	0	
491-Paper2601	Performance Metrics for Probabilistic Ordinal Classifiers	Simple method that can be easily reproduced.								It is surely reproducible.								The paper uses publicly available datasets to and all their code is available online in a GitHub repository, linked in their paper.											0	0	0	0	0	0	
492-Paper0291	Personalized Patch-based Normality Assessment of Brain Atrophy in Alzheimer's Disease	More experimental details are needed, such as how many times of running in terms of computing the final rates in Table 1?								The algorithmic details and the mathematical formulae are well explained. The testing data sets are public available, so the work is easy to be reproduced by a graduate student.								While the proposed method appears to be reproducible, it would be helpful to include certain important information, such as the runtime and parameters used for sulcal skeleton extraction, to ensure that others can easily replicate the results.											0	0	0	0	0	0	
493-Paper1482	PET Image Denoising with Score-Based Diffusion Probabilistic Models	The authors are able to provide the details of training architecture and hyperparameters in the paper. it would be very easy to reproduce the paper if the authors had provided the source code and some data.								Good, but only one dataset								Reproducibility is satisfied.											0	0	0	0	0	0	
494-Paper0128	PET-diffusion: Unsupervised PET Enhancement based on the Latent Diffusion Model	reproducibility is very poor both datasets and model are not published. The author's reproducibility checklist is inconsistent with the actual paper.								OK								The architecture and dataset is clear enough and the CT cross attention is well explained to replicate the proposed method. However, as far as I know, the Poisson diffusion (Equation 1) is neither explicit nor referenced. I assume that the training of both autoencoders is done separately and prior to the training of the diffusion model.											0	0	0	0	0	0	
495-Paper1717	Physics-based Decoding Improves Magnetic Resonance Fingerprinting	The architecture is clear and the formulation is well defined.								Authors mentioned that the code will be made available upon acceptance.								The code will be made available upon acceptance.											0	0	0	0	0	0	
496-Paper3215	Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T	No concerns about reproducibility.								The author provide some code in the supplementary materials, but it is not easy to reproduce the results since the data are not to be released.								The authors provide verbal description of their neural network model, which may require significant effort to reproduce. Formal equation derivations are poorly annotated, which also may potentially reduce reproducibility.											0	0	0	0	0	0	
497-Paper1728	Physics-Informed Neural Networks for Tissue Elasticity Reconstruction in Magnetic Resonance Elastography	The network architecture was explained but dataset and code are not available.								The paper is providing all information to re-code the method.								For me, many elements are missing to guarantee the reproducibility of the results: the database used, the frequency used in MRE (or multi-frequency? then which one?), the boundary conditions used, the type of MRI and sequence used (changing considerably the visualizable wavelength, resolution, SNR, FOV,... and thus the result of the investigations and comparisons with existing algorithms), the direct models used,...											0	0	0	0	0	0	
498-Paper2744	Pick and Trace: Instance Segmentation for Filamentous Objects with a Recurrent Neural Network	The authors mention that the they provide collected data once paper accepted. The coding resources are not found within the provided supplemental files.								The method is described well enough to be reproduced. The dataset is not described in enough detail. The authors do not provide any code for method or dataset.  I would advise to publish these upon acceptance and link to them in the paper.								The paper is well written and the method explained in detail, which facilitates the reproducibility of the approach. Additionally, the authors stated their will to provide the data and the code as soon as the paper is accepted.   On the other hand, the proposed method seems easily transferable across specimens and biological structures as long as they are filaments with a starting and an ending point.											0	0	0	0	0	0	
499-Paper0855	Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation	All details are provided.								The paper propovides sufficient implementation details.								The paper has provided sufficient information and resources to allow for reproducibility of the proposed method.											0	0	0	0	0	0	
500-Paper0969	PIViT: Large Deformation Image Registration with Pyramid-Iterative Vision Transformer	Some details of the network are missing, such as the nonlinearities used following convolutions, as well as numbers of channels and how these were chosen. Details of dimensions involved in the SWIN transformers were missing. Manuscript did not contain a placeholder for a repo.								The authors don't say that they will make the code available or already have done it. Furthermore, no statistical analysis was performed. It's not clear to me if the parameters of the other methods were changed or kept like in the original paper.    For all code related to this work that you have made available or will release if this work is accepted, check if you include:  Specification of dependencies.  [Yes]   Training code.  [Yes]   Evaluation code.  [Yes]   (Pre-)trained model(s).  [Yes]   Dataset or link to the dataset needed to run the code.  [Yes]   README file including a table of results accompanied by precise command to run to produce those results.  [Yes]  For all reported experimental results, check if you include:  The range of hyper-parameters considered, method to select the best hyper-parameter configuration, and specification of all hyper-parameters used to generate results.  [Yes]   Information on sensitivity regarding parameter changes.  [Yes]   The exact number of training and evaluation runs.  [Yes]   Details on how baseline methods were implemented and tuned.  [Yes]   The details of train / validation / test splits.  [Yes]   A clear definition of the specific evaluation metrics and/or statistics used to report results.  [Yes]   Discussion of clinical significance.  [Yes]   A description of the computing infrastructure used (hardware and software).  [Yes]   An analysis of situations in which the method failed.  [Yes]   A description of the memory footprint.  [No]   The average runtime for each result, or estimated energy cost.  [Yes]   An analysis of statistical significance of reported differences in performance between methods.  [Yes]								Many quantitative details about the architecture are not provided (patch and window size in the LCD, number of features, etc.). While it is stated that the code will be made available, I believe it is beneficial to also provide technical details in the paper (eventually in supplementary material).											0	0	0	0	0	0	
501-Paper0755	PLD-AL: Pseudo-Label Divergence-Based Active Learning in Carotid Intima-Media Segmentation for Ultrasound Images	The papers appears detailed enough for the result to be reproducible.								Authors meet all reproducibility criterias.								Overall, the paper provides enough information to allow someone to replicate the study with similar datasets and settings. Some exact details of the data preprocessing, augmentation, and hyperparameter tuning are not specified. For example, how many epochs were used? Is it 1000 training iterations?											0	0	0	0	0	0	
502-Paper0820	PMC-CLIP: Contrastive Language-Image Pre-training using Biomedical Documents	codes and data are not available but comparison were made to publicly available datasets.								The authors will provide the necessary code in a repository and the dataset will be made public. Thus, the approach should be fully reproducible.								More information and details about the experimental setup need to be provided for better reproducibility. Specifically, the paper has provided fewer experimental details for downstream tasks, such as VQA. In the supplementary material, the answer prompt and question prompt are not yet clear, further hindering the ability to replicate the experiment.											0	0	0	0	0	0	
503-Paper0700	Point Cloud Diffusion Models for Automatic Implant Generation	The authors provide the reviewers with an anonymous link with the implementation and rely on public data for training.								Very Good.								yes											0	0	0	0	0	0	
504-Paper1260	Polar Eyeball Shape Net for 3D Posterior Ocular Shape Representation	While the authors explain the overall system, the steps taken and most important aspects, the reproducibility of their work can be called 'fair' at best. Without making the data set and the code public, a lot of implementation details have to be reinvented by anyone who wants to reproduce the results.								* While there is a lack of some technical details, the supplementary materials provide additional information to help improve the reproducibility.								Reproducible.											0	0	0	0	0	0	
505-Paper0407	Polar-Net: A Clinical-Friendly Model for Alzheimer's Disease Detection in OCTA Images	Some components of paper are available, like the FAZ detection model, while others not, like the dataset. If the paper is accepted I am sure the method could act as a reference, and be replicated by the community.								The authors promise to release the codes.								Upon release of the code, the reproducibility can be verified.											0	0	0	0	0	0	
506-Paper2628	Position-aware masked autoencoder for histopathology WSI representation learning	One of the datasets is public and the authors promised source will be released								The authors claimed will release the codes after acceptance, which might contribute to the reproducibility.  Yet, the hyper-parameters are not given.								Satisfactory: The author described their method details clearly, and the dataset is publicly available. However, the author did not claim whether they will make their code publicly available.											0	0	0	0	0	0	
