category		contribution	contribution	contribution	strengths	strengths	strengths	weakness	weakness	weakness	reproducibility	reproducibility	reproducibility	detailed	detailed	detailed	justification	justification	justification
339-Paper1786	Improving Pathology Localization: Multi-Series Joint Attention Takes the Lead	33	57	29	15	137	66	87	31	116	18	16	22	172	110	81	32	95	38
340-Paper2610	Incomplete Multimodal Learning for Visual Acuity Prediction after Cataract Surgery Using Masked Self-Attention	36	82	42	32	52	81	33	94	104	22	15	20	112	57	87	49	139	5
341-Paper0708	Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI	71	49	120	47	59	54	85	9	88	20	18	4	205	146	8	47	47	76
342-Paper1952	Inflated 3D Convolution-Transformer for Weakly-supervised Carotid Stenosis Grading with Ultrasound Videos	52	26	58	38	30	43	87	21	75	15	12	2	41	3	107	62	5	31
343-Paper2539	Infusing physically inspired known operators in deep models of ultrasound elastography	80	40	27	82	22	40	103	35	275	36	8	13	48	99	25	16	7	7
344-Paper2197	Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images	80	78	45	27	183	129	57	198	43	28	16	7	474	162	36	37	67	149
345-Paper1885	Instructive Feature Enhancement for Dichotomous Medical Image Segmentation	53	95	32	52	65	30	102	85	84	43	13	12	53	193	17	37	53	11
346-Paper2092	Intelligent Virtual B-scan Mirror (IVBM)	134	106	36	36	166	33	38	239	37	16	8	13	37	185	299	11	8	35
347-Paper2128	Interpretable Deep Biomarker for Serial Monitoring of Carotid Atherosclerosis Based on Three-Dimensional Ultrasound Imaging	47	20	41	46	71	36	88	53	13	13	8	5	54	163	49	36	78	36
348-Paper1676	Interpretable Medical Image Classification using Prototype Learning and Privileged Information	25	27	30	151	17	35	44	110	128	3	15	9	18	51	576	41	20	103
349-Paper1303	Inter-slice Consistency for Unpaired Low-Dose CT Denoising using Boosted Contrastive Learning	82	35	124	289	35	180	303	325	82	34	16	31	43	22	47	43	3	105
350-Paper1521	Intraoperative CT augmentation for needle-based liver interventions	145	133	57	41	109	11	47	211	12	32	49	28	449	295	25	28	23	80
351-Paper0552	Intra-operative Forecasting of Standing Spine Shape with Articulated Neural Kernel Fields	70	42	116	161	34	75	179	179	38	68	35	24	354	60	32	70	19	20
352-Paper1368	Inverse Consistency by Construction for Multistep Deep Registration	69	55	26	82	18	38	100	35	63	9	7	1	34	158	49	37	53	42
353-Paper2670	InverseSR: 3D Brain MRI Super-Resolution Using a Latent Diffusion Model	27	51	131	59	64	68	9	266	2	26	7	13	9	10	95	10	35	21
354-Paper3556	Ischemic stroke segmentation from a cross-domain representation in multimodal diffusion studies	112	115	39	33	188	51	144	282	12	11	56	14	106	501	102	44	89	15
355-Paper0322	Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification	96	51	43	89	21	24	111	73	294	20	10	22	231	19	8	90	9	53
356-Paper2307	JCCS-PFGM: A Novel Circle-Supervision based Poisson Flow Generative Model for Multiphase CECT Progressive Low-Dose Reconstruction with Joint Condition	96	50	39	88	45	58	316	290	205	7	4	12	176	3	4	77	39	41
357-Paper0563	Joint Dense-Point Representation for Contour-Aware Graph Segmentation	13	22	39	6	51	64	15	171	38	7	1	14	15	233	37	15	9	19
358-Paper2062	Joint optimization of a b-VAE for ECG task-specific feature extraction	19	105	50	24	132	52	128	162	39	13	7	36	14	4	153	17	17	56
359-Paper3011	Joint prediction of response to therapy, molecular traits, and spatial organisation in colorectal cancer biopsies	56	83	91	59	74	105	167	141	109	7	1	18	7	103	29	8	46	15
360-Paper1177	Joint Representation of Functional and Structural Profiles for Identifying Common and Consistent 3-Hinge Gyral Folding Landmark	68	49	56	21	50	26	30	31	28	1	23	2	18	91	139	8	22	3
361-Paper0356	Joint Segmentation and Sub-Pixel Localization in Structured Light Laryngoscopy	107	72	63	114	64	70	256	55	266	21	6	35	54	97	71	38	58	82
362-Paper2314	Knowledge Boosting: Rethinking Medical Contrastive Vision-Language Pre-Training	36	65	34	52	49	23	147	140	217	4	7	13	75	76	217	30	77	28
363-Paper3714	L3DMC: Lifelong Learning using Distillation via Mixed-Curvature Space	36	112	58	38	44	49	90	56	48	22	20	29	65	29	187	31	49	63
364-Paper2334	Label-Free Nuclei Segmentation Using Intra-Image Self Similarity	38	70	40	36	144	47	47	129	55	7	21	11	59	180	27	20	88	11
365-Paper2188	Label-preserving Data Augmentation in Latent Space for Diabetic Retinopathy Recognition	44	14	132	95	17	139	55	0	441	16	10	18	66	13	216	22	5	85
366-Paper1581	LABRAD-OR: Lightweight Memory Scene Graphs for Accurate Bimodal Reasoning in Dynamic Operating Rooms	59	80	76	70	158	106	187	142	88	12	22	15	94	118	346	11	96	17
367-Paper3278	Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection	62	51	102	48	61	52	40	153	37	10	29	1	43	67	288	15	49	25
368-Paper0933	Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality	34	51	47	56	76	11	21	69	29	12	8	18	5	35	178	5	23	25
369-Paper3610	Learnable Query Initialization for Surgical Instrument Instance Segmentation	47	23	72	39	18	41	75	26	5	15	14	30	39	17	256	52	5	46
370-Paper0417	Learnable Subdivision Graph Neural Network for Functional Brain Network Analysis and Interpretable Cognitive Disorder Diagnosis	104	85	19	45	52	56	151	35	169	15	20	10	101	26	1	32	13	31
371-Paper1024	Learned Alternating Minimization Algorithm for Dual-Domain Sparse-View CT Reconstruction	47	40	32	60	40	28	20	15	20	14	7	13	36	142	22	17	9	41
372-Paper1604	Learning Asynchronous Common and Individual Functional Brain Network for AD Diagnosis	26	119	46	19	119	27	44	91	20	1	11	56	23	36	123	18	23	20
373-Paper0224	Learning Deep Intensity Field for Extremely Sparse-View CBCT Reconstruction	37	40	59	82	43	26	255	288	92	7	13	1	33	23	40	23	22	34
374-Paper1323	Learning Expected Appearances for Intraoperative Registration during Neurosurgery	64	127	22	112	19	28	124	49	9	30	38	7	174	884	110	32	36	5
375-Paper1989	Learning Large Margin Sparse Embeddings for Open Set Medical Diagnosis	24	44	58	17	33	33	137	15	106	14	1	5	90	2	5	8	25	5
376-Paper0625	Learning normal asymmetry representations for homologous brain structures	27	47		57	43		45	75		1	43		1070	180		13	10	
377-Paper1418	Learning Ontology-based Hierarchical Structural Relationship for Whole Brain Segmentation	28	43	54	38	42	46	51	73	54	9	15	10	46	162	90	22	38	58
378-Paper2873	Learning Reliability of Multi-Modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models	56	43	50	78	15	10	85	105	5	37	9	8	282	3	74	50	5	29
379-Paper2158	Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk	14	82	14	10	203	12	53	72	37	8	5	8	10	65	3	17	78	22
380-Paper0924	Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation	61	89	79	40	112	41	26	188	59	15	1	14	361	198	54	39	14	39
381-Paper1688	Learning with Domain-Knowledge for Generalizable Prediction of Alzheimer's Disease from Multi-Site Structural MRI	57	20	30	85	59	40	130	18	141	19	19	13	7	105	203	11	22	80
382-Paper0459	Learning with Synthesized Data for Generalizable Lesion Detection in Real PET Images	15	137	38	71	29	27	4	15	60	3	16	28	84	331	116	12	26	116
383-Paper1429	Lesion-aware Contrastive Learning for Diabetic Retinopathy Diagnosis	41	78	27	26	211	12	71	24	12	27	32	15	1158	104	24	83	100	26
384-Paper3172	LightNeuS: Neural Surface Reconstruction in Endoscopy using Illumination Decline	39	43	66	77	36	70	347	17	64	13	2	22	55	106	59	72	35	34
385-Paper0353	Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network	15	52	26	87	35	5	28	50	60	19	3	2	58	0	9	31	44	7
386-Paper0561	LLCaps: Learning to Illuminate Low-Light Capsule Endoscopy with Curved Wavelet Attention and Reverse Diffusion	81	62	33	71	60	36	97	22	46	8	30	4	5	178	33	20	17	53
387-Paper1317	Localized Questions in Medical Visual Question Answering	48	60	74	50	28	126	103	112	108	23	12	12	30	5	175	25	5	85
388-Paper1736	Localized Region Contrast for Enhancing Self-Supervised Learning in Medical Image Segmentation	88	88	38	41	43	6	15	34	119	22	7	9	664	11	2	70	27	42
389-Paper2564	Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures From Routine EHRs for Pulmonary Nodule Classification	81	95	59	28	145	50	41	24	129	20	1	51	146	18	134	5	1	18
390-Paper2419	LOTUS: Learning to Optimize Task-based US representations	57	77	58	30	92	56	138	40	55	25	18	137	50	54	446	64	41	38
391-Paper0785	Low-dose CT image super-resolution network with dual-guidance feature distillation and dual-path content communication	54	55	72	47	58	12	183	93	25	5	13	15	43	8	37	11	39	39
392-Paper1483	LSOR: Longitudinally-Consistent Self-Organized Representation Learning	30	43	47	37	48	18	39	26	11	17	17	11	74	29	147	27	31	23
393-Paper3007	LUCYD: A Feature-Driven Richardson-Lucy Deconvolution Network	61	22	16	48	24	62	178	27	50	5	10	5	7	156	62	31	15	6
394-Paper3448	M&M: Tackling False Positives in Mammography with a Multi-view and Multi-instance Learning Sparse Detector	94	5	54	165	5	37	119	5	45	24	1	26	114	218	137	7	5	19
395-Paper1607	M3D-NCA: Robust 3D Segmentation with Built-in Quality Control	42	27	95	97	38	392	34	10	62	27	18	140	12	17	397	24	19	114
396-Paper3565	Machine Learning for Automated Mitral Regurgitation Detection from Cardiac Imaging	85	71	30	80	16	128	106	87	260	57	25	1	68	44	65	69	10	50
397-Paper0872	Make-A-Volume: Leveraging Latent Diffusion Models for Cross-Modality 3D Brain MRI Synthesis	44	131	52	24	36	125	332	98	153	8	32	25	48	7	23	9	9	14
398-Paper1299	Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification	40	65	68	17	128	70	122	153	63	20	27	38	65	337	308	30	41	38
399-Paper0981	Many tasks make light work: Learning to localise medical anomalies from multiple synthetic tasks	64	64	20	24	68	31	158	103	211	12	9	15	4	46	51	22	58	17
400-Paper0416	Masked Frequency Consistency for Domain-Adaptive Semantic Segmentation of Laparoscopic Images	44	59	99	84	95	35	176	46	70	23	21	7	99	96	63	24	59	22
401-Paper2138	Masked Vision and Language Pre-training with Unimodal and Multimodal Contrastive Losses for Medical Visual Question Answering	99	71	88	160	45	172	143	24	102	32	22	190	58	64	13	58	43	90
402-Paper2185	Maximum Entropy on Erroneous Predictions: Improving model calibration for medical image segmentation	93	61	32	49	44	25	67	66	46	46	13	4	62	55	14	48	72	16
403-Paper3185	Maximum-entropy estimation of joint relaxation-diffusion distribution using multi-TE diffusion MRI	40	71	42	20	57	16	42	42	26	17	32	8	306	140	40	28	32	24
404-Paper2640	MDA-SR: Multi-level Domain Adaptation Super-Resolution for Wireless Capsule Endoscopy Images	52	67	48	76	78	53	114	13	60	6	27	14	12	156	31	30	50	21
405-Paper1943	MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets	11	91	64	42	29	62	12	32	40	5	11	17	32	21	213	4	23	75
406-Paper2585	MedGen3D: A Deep Generative Framework for Paired 3D Image and Mask Generation	81	23	41	90	57	68	84	31	181	21	6	21	39	293	105	22	43	42
407-Paper1834	Medical Boundary Diffusion Model for Skin Lesion Segmentation	62	67	64	37	41	101	128	44	84	35	9	2	34	19	119	18	15	14
408-Paper0377	Medical Phrase Grounding with Region-Phrase Context Contrastive Alignment	75	49	50	53	35	96	63	33	101	7	14	21	79	56	59	9	4	46
409-Paper0253	MedIM: Boost Medical Image Representation via Radiology Report-guided Masking	41	74	50	37	96	37	22	20	82	14	18	11	122	90	41	20	27	55
410-Paper1656	MedNeXt: Transformer-driven Scaling of ConvNets for Medical Image Segmentation	66	105	77	71	70	17	336	80	116	7	1	20	8	63	143	16	17	10
411-Paper2107	Memory Replay for Continual Medical Image Segmentation through Atypical Sample Selection	63	123	90	56	37	104	66	33	488	17	14	52	6	76	914	15	22	80
412-Paper0831	MEPNet: A Model-Driven Equivariant Proximal Network for Joint Sparse-View Reconstruction and Metal Artifact Reduction in CT Images	48	80	17	47	49	18	47	84	10	13	28	6	36	126	25	34	81	21
413-Paper2627	Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer	133	112	46	95	41	89	111	23	24	23	20	11	156	72	124	79	49	22
414-Paper3629	Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy	91	31	119	20	34	108	23	46	37	4	15	9	107	4	60	30	29	8
415-Paper0950	MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging	59	51	55	95	94	36	58	123	66	69	23	17	47	204	19	51	32	54
416-Paper3709	M-FLAG: Medical Vision-Language Pre-training with Frozen Language Models and Latent Space Geometry Optimization	52	84	34	54	105	37	86	52	452	4	8	39	2	14	76	7	19	3
417-Paper0699	M-GenSeg: Domain Adaptation For Target Modality Tumor Segmentation With Annotation-Efficient Supervision	50	94	68	54	96	25	36	64	127	6	34	4	88	150	78	20	44	36
418-Paper1023	Microstructure Fingerprinting for Heterogeneously Oriented Tissue Microenvironments	37	31	44	77	39	47	96	18	23	18	15	19	100	26	16	24	17	33
419-Paper1480	Minimal-supervised Medical Image Segmentation via Vector Quantization Memory	56	73	58	40	58	138	56	100	171	19	21	38	294	322	131	34	49	28
420-Paper0197	Mining Negative Temporal Contexts For False Positive Suppression In Real-Time Ultrasound Lesion Detection	81	64	18	143	51	205	108	97	76	38	3	8	63	17	218	28	12	31
421-Paper0691	MI-SegNet: Mutual Information-Based US Segmentation for Unseen Domain Generalization	52	55	27	79	54	25	32	17	22	15	19	1	149	13	154	33	18	8
422-Paper1643	Mitigating Calibration Bias Without Fixed Attribute Grouping for Improved Fairness in Medical Imaging Analysis	73	48	132	12	51	206	66	90	182	6	2	35	7	53	271	20	19	78
423-Paper0338	Mitosis Detection from Partial Annotation by Dataset Generation via Frame-Order Flipping	84	135	76	67	22	8	22	117	15	23	8	20	107	36	407	31	2	13
424-Paper1606	Mitral Regurgitation Quantification from Multi-channel Ultrasound Images via Deep Learning	60	37	123	45	49	241	62	96	143	93	13	41	89	43	321	60	21	96
425-Paper3659	Mixing Temporal Graphs with MLP for Longitudinal Brain Connectome Analysis	45	37	45	18	29	57	97	129	25	13	9	9	6	39	47	19	2	29
426-Paper0376	MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis	67	59	72	40	70	85	69	117	139	4	13	28	290	223	240	10	33	30
427-Paper0833	MoCoSR: Respiratory Motion Correction and Super-Resolution for 3D Abdominal MRI	39	68	82	67	75	77	35	46	27	30	6	27	235	16	122	71	53	9
428-Paper1693	Modeling Alzheimers' Disease Progression from Multi-task and Self-supervised Learning Perspective with Brain Networks	50	76	58	19	41	58	185	75	80	4	21	17	77	129	23	5	97	12
429-Paper2229	ModeT: Learning Deformable Image Registration via Motion Decomposition Transformer	111	87	90	84	59	151	121	113	64	16	43	22	21	122	16	18	74	52
430-Paper0339	Modularity-Constrained Dynamic Representation Learning for Interpretable Brain Disorder Analysis with Functional MRI	106	24	65	122	24	30	292	99	38	13	2	13	7	3	367	35	1	74
431-Paper2490	ModusGraph: Automated 3D and 4D Mesh Model Reconstruction from cine CMR with Improved Accuracy and Efficiency	129	47	23	44	27	25	145	201	143	6	17	7	44	96	275	11	39	45
432-Paper1196	Morphology-inspired Unsupervised Gland Segmentation via Selective Semantic Grouping	46	49	76	16	39	48	103	76	107	3	7	6	2	17	26	29	26	19
433-Paper2481	Motion Compensated Unsupervised Deep Learning for 5D MRI	40	83	45	27	64	53	22	68	13	12	8	21	31	8	139	8	52	21
434-Paper2545	MPBD-LSTM: A Predictive Model For Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans	55	34	68	66	26	51	58	44	268	23	1	18	289	5	7	44	26	16
435-Paper1372	MRIS: A Multi-modal Retrieval Approach for Image Synthesis on Diverse Modalities	63	36	50	62	39	19	16	45	116	6	15	15	19	210	118	15	12	19
436-Paper2645	MSKdeX: Musculoskeletal (MSK) decomposition from an X-ray image for fine-grained estimation of lean muscle mass and muscle volume	94	60	27	37	43	21	15	46	34	21	50	24	156	99	57	98	35	25
437-Paper2719	MulHiST: Multiple Histological Staining for Thick Biological Samples via Unsupervised Image-to-Image Translation	70	35	25	431	54	22	201	53	18	74	27	17	201	108	68	113	18	24
438-Paper1108	Multi-Head Multi-Loss Model Calibration	47	63	87	36	64	123	204	391	156	13	23	41	19	288	232	25	62	79
439-Paper1835	Multi-IMU with Online Self-Consistency for Freehand 3D Ultrasound Reconstruction	98	126	13	60	131	11	146	208	27	20	80	7	125	32	152	54	86	5
440-Paper1341	Multimodal brain age estimation using interpretable adaptive population-graph learning	27	67	80	28	81	117	69	15	231	22	43	135	25	66	70	9	50	49
441-Paper3254	Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk	86	102	83	28	42	24	40	97	90	34	36	61	487	290	46	19	53	12
442-Paper2572	Multimodal Deep Fusion in Hyperbolic Space for Mild Cognitive Impairment Study	52	49	86	18	19	31	17	53	16	12	1	11	39	6	89	12	17	2
443-Paper0314	Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis	37	55	36	30	46	50	164	48	174	17	27	28	146	83	7	12	15	9
444-Paper0826	Multi-Modal Semi-supervised Evidential Recycle Framework for Alzheimer's Disease Classification	93	39	27	11	84	38	61	128	118	61	12	17	251	19	61	1	44	11
445-Paper2360	Multi-modal Variational Autoencoders for normative modelling across multiple imaging modalities	53	36	44	148	23	62	140	116	163	19	1	6	34	146	76	2	28	6
446-Paper0803	Multi-modality contrastive learning for sarcopenia screening from hip X-rays and clinical information	78	83	24	50	166	36	6	143	448	41	5	20	9	28	5	7	41	24
447-Paper2014	Multi-objective point cloud autoencoders for explainable myocardial infarction prediction	28	64	153	17	37	29	20	187	91	5	5	24	32	6	97	34	50	40
448-Paper0738	Multi-perspective Adaptive Iteration Network for Metal Artifact Reduction	95	131	75	146	272	31	63	238	54	78	51	8	118	225	81	116	102	28
449-Paper1294	Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models	44	70	133	78	49	43	146	56	38	27	27	39	7	185	96	43	52	73
450-Paper0483	Multi-scale Cross-restoration Framework for Electrocardiogram Anomaly Detection	136	117	79	62	63	42	54	29	27	23	12	13	117	442	27	80	42	42
451-Paper1496	Multi-Scale Prototypical Transformer for Whole Slide Image Classification	44	77	61	46	54	73	157	50	79	8	13	13	47	16	195	27	31	29
452-Paper3115	Multi-Scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision	128	124	33	88	54	16	144	130	21	30	23	1	114	88	1	52	12	13
453-Paper2784	Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image based Cancer Survival Prediction	72	57	48	34	30	84	22	171	57	106	10	12	84	91	25	59	40	21
454-Paper2315	Multi-shot Prototype Contrastive Learning and Semantic Reasoning for Medical Image Segmentation	21	38	39	40	95	27	82	46	146	2	30	17	143	187	3	20	35	68
455-Paper1663	MultiTalent: A Multi-Dataset Approach to Medical Image Segmentation	32	109	39	95	165	49	145	36	161	17	8	3	43	16	104	23	5	24
456-Paper0968	Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation	54	56	40	31	35	25	104	166	103	20	14	31	169	20	73	28	42	46
457-Paper2485	Multi-task Joint Prediction of Infant Cortical Morphological and Cognitive Development	31	29	123	60	59	44	60	47	22	23	36	21	96	60	71	39	25	3
458-Paper2548	Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma	77	47	81	54	70	68	82	10	433	41	19	16	128	34	72	15	26	59
459-Paper2095	Multi-view Guidance for Self-supervised Monocular Depth Estimation on Laparoscopic Images via Spatio-temporal Correspondence	37	109	80	27	137	56	148	90	6	22	9	15	48	48	55	9	51	19
460-Paper0534	Multi-View Vertebra Localization and Identification from CT Images	50	90	82	49	214	98	128	191	145	53	32	92	542	130	191	89	22	87
461-Paper2286	MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis	33	17	67	35	54	224	168	4	221	27	1	40	27	14	53	11	20	11
462-Paper3175	NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models	31	73	34	37	121	73	88	189	71	27	4	4	165	87	172	55	27	57
463-Paper0518	Neural LerPlane Representations for Fast 4D Reconstruction of Deformable Tissues	141	78		109	48		84	34		142	22		282	85		44	18	
464-Paper1757	Neural Pre-Processing: A Learning Framework for End-to-end Brain MRI Pre-processing	41	45	44	79	45	96	123	247	89	22	24	13	31	98	92	41	61	76
465-Paper0596	NeuroExplainer: Fine-Grained Attention Decoding to Uncover Cortical Development Patterns of Preterm Infants	89	57	72	27	60	35	38	66	128	63	9	8	759	5	6	26	10	14
466-Paper3205	NISF: Neural Implicit Segmentation Functions	60	57	88	21	40	230	46	99	291	11	37	12	54	4	511	55	35	87
467-Paper0754	Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising	68	21	36	27	42	39	94	31	48	11	4	28	44	170	186	30	17	23
468-Paper2943	Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT	103	83	47	46	90	30	134	70	219	77	6	13	113	133	19	54	13	43
469-Paper2654	Non-iterative Coarse-to-fine Transformer Networks for Joint Affine and Deformable Image Registration	30	62	60	72	37	72	148	52	97	41	22	2	163	366	128	87	17	33
470-Paper1059	Nonuniformly Spaced Control Points based on Variational Cardiac Image Registration	74	91	46	7	64	24	83	107	20	95	23	10	345	92	134	57	28	44
471-Paper3365	On the Relevance of Temporal Features for Medical Ultrasound Video Recognition	46	57	32	29	35	68	7	109	159	10	7	1	21	178	88	18	14	9
472-Paper2006	One-shot Federated Learning on Medical Data using Knowledge Distillation with Image Synthesis and Client Model Adaptation	62	35	42	14	27	74	10	53	244	5	20	4	124	130	6	29	28	15
473-Paper0652	One-Shot Traumatic Brain Segmentation with Adversarial Training and Uncertainty Rectification	57	17	139	24	7	61	89	15	53	23	17	32	59	103	11	23	9	17
474-Paper0081	OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification	103	59	43	88	89	67	136	277	120	52	43	23	129	69	236	32	92	48
475-Paper2884	Open-Ended Medical Visual Question Answering Through Prefix Tuning of Language Models	85	53	63	97	39	31	146	186	29	35	33	10	10	102	22	55	63	17
476-Paper2895	Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue	105	55	35	107	36	13	72	375	11	34	148	14	337	188	14	57	37	4
477-Paper3392	Optical Ultrasound Imaging for Endovascular Repair of Abdominal Aortic Aneurysms: A Pilot Study	37	133	63	46	153	53	26	112	52	39	27	28	101	146	129	20	52	15
478-Paper2383	Optimizing the 3D Plate Shape for Proximal Humerus Fractures	76	58	55	79	22	73	248	47	409	43	14	6	130	601	216	24	53	87
479-Paper2161	Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping	66	82	30	57	67	11	3	44	16	9	50	6	345	68	38	19	82	17
480-Paper0904	Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction like Radiologists	45	109	65	32	112	37	148	35	61	17	8	9	45	137	42	8	94	5
481-Paper1049	Partial Vessels Annotation-based Coronary Artery Segmentation with Self-training and Prototype Learning	59	22	45	46	27	56	83	81	149	12	22	49	51	74	5	7	26	28
482-Paper2606	Partially Supervised Multi-Organ Segmentation via Affinity-aware Consistency Learning and Cross Site Feature Alignment	52	83	34	45	41	21	159	40	33	21	15	36	3	25	162	26	43	23
483-Paper2143	PAS-Net: Rapid Prediction of Antibiotic Susceptibility from Fluorescence Images of Bacterial Cells Using Parallel Dual-branch Network	42	77	34	40	33	44	14	263	1	35	26	1	88	4	1	15	16	8
484-Paper2294	Path-based Heterogeneous Brain Transformer Network for Resting-State Functional Connectivity Analysis	28	52	34	17	60	62	15	35	337	33	5	9	426	139	37	21	7	16
485-Paper1847	Pathology-and-genomics Multimodal Transformer for Survival Outcome Prediction	50	79	74	30	74	84	18	62	110	10	38	17	85	46	113	24	71	38
486-Paper0295	Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis	62	33	25	10	32	17	178	47	45	7	39	21	203	104	125	16	5	42
487-Paper3291	PCMC-T1: Free-breathing myocardial T1 mapping with Physically-Constrained Motion Correction	58	44	125	88	36	271	114	121	250	16	19	23	97	10	391	33	12	123
488-Paper0871	Pelphix: Surgical Phase Recognition from X-ray Images in Percutaneous Pelvic Fixation	47	46	33	50	247	20	91	135	20	23	18	54	52	72	62	43	25	27
489-Paper1608	Pelvic Fracture Reduction Planning Based on Morphable Models and Structural Constraints	41	48	47	35	29	30	20	136	143	44	16	39	186	210	96	32	21	9
490-Paper1597	Pelvic Fracture Segmentation Using a Multi-scale Distance-weighted Neural Network	66	36	94	43	41	110	22	39	17	22	3	22	69	12	31	69	31	21
491-Paper2601	Performance Metrics for Probabilistic Ordinal Classifiers	71	62	106	50	61	152	214	221	68	7	4	22	23	85	65	2	21	46
492-Paper0291	Personalized Patch-based Normality Assessment of Brain Atrophy in Alzheimer's Disease	18	46	95	24	56	89	37	30	37	22	29	37	168	62	363	23	71	35
493-Paper1482	PET Image Denoising with Score-Based Diffusion Probabilistic Models	124	30	11	136	42	59	29	161	82	36	5	3	53	59	38	23	22	20
494-Paper0128	PET-diffusion: Unsupervised PET Enhancement based on the Latent Diffusion Model	50	70	64	59	54	92	45	169	67	21	1	56	29	144	106	5	40	54
495-Paper1717	Physics-based Decoding Improves Magnetic Resonance Fingerprinting	101	70	144	38	28	74	138	53	72	10	11	8	1	118	362	13	17	54
496-Paper3215	Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T	70	52	21	45	44	11	26	49	56	4	26	29	32	105	3	11	64	23
497-Paper1728	Physics-Informed Neural Networks for Tissue Elasticity Reconstruction in Magnetic Resonance Elastography	11	97	14	23	51	114	100	30	322	12	10	61	5	88	190	20	29	5
498-Paper2744	Pick and Trace: Instance Segmentation for Filamentous Objects with a Recurrent Neural Network	43	48	47	65	87	115	69	195	113	23	43	66	123	216	207	42	46	62
499-Paper0855	Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation	21	36	108	13	31	150	29	41	151	4	6	16	68	21	61	10	25	125
500-Paper0969	PIViT: Large Deformation Image Registration with Pyramid-Iterative Vision Transformer	27	47	122	38	36	72	27	157	68	44	249	48	286	216	74	23	40	55
501-Paper0755	PLD-AL: Pseudo-Label Divergence-Based Active Learning in Carotid Intima-Media Segmentation for Ultrasound Images	68	54	111	79	49	107	104	189	90	11	5	44	46	80	108	21	61	23
502-Paper0820	PMC-CLIP: Contrastive Language-Image Pre-training using Biomedical Documents	63	52	61	30	113	39	11	32	242	14	24	51	25	92	117	21	20	36
503-Paper0700	Point Cloud Diffusion Models for Automatic Implant Generation	41	34	26	33	15	25	58	104	43	19	2	1	106	26	18	55	5	9
504-Paper1260	Polar Eyeball Shape Net for 3D Posterior Ocular Shape Representation	31	68	108	47	38	37	45	177	31	51	21	1	173	216	119	24	24	4
505-Paper0407	Polar-Net: A Clinical-Friendly Model for Alzheimer's Disease Detection in OCTA Images	150	54	91	255	49	22	222	32	72	38	7	10	371	41	13	20	3	34
506-Paper2628	Position-aware masked autoencoder for histopathology WSI representation learning	41	43	35	58	39	59	112	155	67	14	21	28	16	70	9	17	4	27
507-Paper0739	Positive Definite Wasserstein Graph Kernel for Brain Disease Diagnosis	31	18	37	39	40	43	16	189	71	5	32	28	21	21	69	13	10	30
508-Paper2156	POV-Surgery: A Dataset for Egocentric Hand and Tool Pose Estimation During Surgical Activities	79	71	123	61	135	123	73	106	117	2	12	176	41	123	360	16	134	69
509-Paper2392	Predicting Diverse Functional Connectivity from Structural Connectivity Based on Multi-Contexts Discriminator GAN	71	78	18	63	27	13	126	147	6	16	6	3	116	317	68	134	28	2
