Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree		
321	mmFormer: Multimodal Medical Transformer for Incomplete Multimodal Learning of Brain Tumor Segmentation 	The method proposed is reproducible.									Certain implementation details are missing: Number of initial or filters per level for the CNN encoders patch size for the intra-modal transformers is not provided / were the inner-most features of the CNN encoder just flattened? what features from the encoder are forwarded as skip features? If it is the features from CNN encoders at specific levels, how are they combined across modalities? from Fig.1, it appears as if the intra and inter-modal transformers are used only at the bridge/innermost level. If so, what is used as skip features at every level in the decoder?									reproducible if hyperparameters are all provided, however not																				
322	Modality-adaptive Feature Interaction for Brain Tumor Segmentation with Missing Modalities 	"The authors listed ""yes"" for both code and pre-trained models. In this case, it can be an easy task for both training and testing. If the reproduction was only based on the descriptions in the paper, it could be somewhat difficult."									acceptable									The paper meets the standard requirement in terms of reproducibility.																				
323	ModDrop++: A Dynamic Filter Network with Intra-subject Co-training for Multiple Sclerosis Lesion Segmentation with Missing Modalities 	The authors provided sufficient information to reproduce the propsoed method.									The code and data are publicy available.									Public datasets have been used, but no code repository have been shared. I encourage authors to publicly share the implementation as I feel this work could have noticeable impact in the field.																				
324	Modelling Cycles in Brain Networks with the Hodge Laplacian 	The description seems reasonably clear. But I believe the code needs to be publicly available to ensure full reproducibility.									There are two questions about the validity of the statistical analysis (see item 8).									Good.																				
325	Momentum Contrastive Voxel-wise Representation Learning for Semi-supervised Volumetric Medical Image Segmentation 	While the majority of hyperparameters and pipeline settings are listed in the experimental section, the limited clarity of the paper make reproduction harder then it has to be.									The method and architecture is well described. I trust that the code will be publicly available, as the authors wrote in the abstract.									The reproducibility of the paper is good.																				
326	Morphology-Aware Interactive Keypoint Estimation 	The authors include code with detailed readme as part of their supplementary materials. Demo video is provided as well to demonstrate the user interaction process.									As supplementary information, the authors have provided access to the code and an illustrative video showcasing the performance of the algorithms on their test dataset. Within the paper itself however, no reference to the implementation details including the utilized libraries, programing language and the network hyperparameters are provided.									The paper is partially reproducible. The authors aim to provide the code (training and evaluation) as well as the pretrained models, which means that it should be possible to reproduce the results on the smaller, publicly available data set. The in-house data set will not be made publicly available.																				
327	Moving from 2D to 3D: volumetric medical image classification for rectal cancer staging 	Good. Sufficient details are provided to reproduce the work. Dataset will not be public but it's understandable.									nan									1, The localization of rectum region needs more details since it contains both tumor tissue and other benign tissues. this paper doses not specify either the whole rectum region or ROI of tumor is utilized in the experiment. 2, In Fig 1, the input of this CNN Network and H-W pool need to be specified.  From 4th layer to 5th layer, the procedure is ambiguous. The structure of every layer should be plotted in Fig 1 or specified in Section 2.2.  3, Which feature is omitted in the GLCM features since PyRadiomics has 24 GLCM features while this paper chooses 23 features? 4, Some important training parameters are also absent, such as epochs and batch size.																				
328	MRI Reconstruction by Completing Under-sampled K-space Data with Learnable Fourier Interpolation 	Experiments on a different larger dataset is recommended.									The list seems completed.									Some elements of the paper should be more detailed to ensure the reproducibility of the study. How do you determine the k-nearest neighbors of the missing Fourier coefficients in the k-space? Describe precisely the architecture of the deep learning method used to estimate the interpolation weights. What are the inputs and outputs of this deep learning algorithm? How much data are used for training? What is the computational time (at training and testing) of the network? What is the performance of this interpolation process? The considered dataset is small (notably the testing dataset). Due to this fact, a k-fold cross-validation will be more suitable for the fairness of the evaluation method (instead of use a simple split of the cohort in training and testing subsets).  The dataset is only composed of 2D MRI slices. To ensure that the method is suitable for clinical practice the method should be evaluated on 3D MRI volumes. The method was applied and evaluated in only one clinical dataset. Several datasets (in other anatomical sites) should be considered to ensure that the method could be used in clinical practice. Describe precisely the architecture of the two denoising convolutional neuronal networks (how they work?). Please describe the data. What is the MRI scanner used for the data acquisition? How many Tesla? What are the MRI parameters (TE, TR, flip angle, acquisition time, etc)? Please perform statistical tests (such as the Wilcoxon test) to compare the significance of the differences between the proposed method and the state-of-the-art methods.																				
329	mulEEG: A Multi-View Representation Learning on EEG Signals 	It should be reproducible based on the information provided.									It seems reproducible. Data is available.									As the experimental descriptions are enough, I believe this paper is reproducible.																				
330	Multidimensional Hypergraph on Delineated Retinal Features for Pathological Myopia Task. 	* The hyper-parameters for the proposed approach has been described, and the details of the training/testing set has been provided.									The checked points in the reproducibilty checklist match perfectly the information provided in the paper.									The reproducibility checklist was accurately filled out.  One thing that could improve reproducibility of the paper is to make the full code available after publication.																				
331	Multi-head Attention-based Masked Sequence Model for Mapping Functional Brain Networks 	"It seemed that reproducing their results is hard because as the authors filed out, they didn't provide the code, the software framework and version, and a detailed description of their model parameter and overall code. Also, even though they said ""yes"" to the question of ""The details of train/validation/test splits."", it seemed they didn't mention the detail of the split of the data. Also, I cannot find the information on the statistical significance of the reported Pearson's correlation coefficient."									I think this work is easy to reproduce.									The reproducibility of this paper is limited. This work does not release the source code but applying a public data set.																				
332	Multi-institutional Investigation of Model Generalizability for Virtual Contrast-enhanced MRI Synthesis 	Limited reproducibility.									Please add the batch size used for training the networks. Please provide the computational time (at training and testing) of the networks. Additional statistical tests are needed to evaluate the significance of the results. Please use statistical tests to compare the performance of the model trained with multi-centric MRIs to those trained with MRIs from a single center. Did data augmentations were performed to improve the method generalization? Please describe the data. What are the MRI scanners used for the data acquisition? How many Teslas? What are the MRI parameters (TE, TR, flip angle, acquisition time, etc)? Did this study consider the whole MRI volumes or only 2D slice MRIs? It will be great to consider the whole MRI volumes during the method evaluation (that is more needed for clinical practice). JIM model was trained with MRIs from institutions 1, 2, and 3 and evaluated on MRIs from institution 4. That seems not enough to conclude that the model trained with multi-centric MRIs had better generalizability and accuracy than those trained with images from a single institution. I think it will be interesting to train and evaluate the JIM model with MRIs from distinct combinations of institutions (e.g., train JIM with MRI from institutions 2, 3, and 4 and evaluate it on MRI from institution 1) and compare the obtained results (evaluation metrics + statistical tests).									high reproducibility.																				
333	Multimodal Brain Tumor Segmentation Using Contrastive Learning based Feature Comparison with Monomodal Normal Brain Images 	"Authors checked ""Yes"" for most questions on the reproducibility of the paper"									The proposed method contains many components, which makes it harder to reproduce from the implementation side. Still, in the Reproducibility Form, the authors promise to make the code available, which may help. Additionally, no details are provided about training IntroVAE. while this is not the focus of the work, it is a key component, so, details would be needed. The authors also use an in-house dataset for part of the results, therefore, it is not possible to reproduce these results. In summary, this Reviewer considers that there are some risks, and reproducibility potential is just moderate.									All the necessary checklist for the resproducibilty are provided.																				
334	Multimodal Contrastive Learning for Prospective Personalized Estimation of CT Organ Dose 	The code is not available (although not required). The datasets are not available (although not required). Experiment parameters and configurations were detailed. Please clarify how the training and test were split.									The lack of technical description regarding TCM map generation (the DCT fitting part of the paper that I missed) is a minus. Maybe it's very common CT knowledge that I just do not possess.									The data does not seem public and no mention of sharing the code.																				
335	Multi-Modal Hypergraph Diffusion Network with Dual Prior for Alzheimer Classification 	Maybe the model and results can be implemented.									If the code is provided, the algorithm will be easier to reproduce.									The results in this paper are easily reproducible ?																				
336	Multi-Modal Masked Autoencoders for Medical Vision-and-Language Pre-Training 	It is easy to implement the idea based on the existing method description.									The reproducibility looks good.									reproducible																				
337	Multi-modal Retinal Image Registration Using a Keypoint-Based Vessel Structure Aligning Network 	The paper provides sufficient implementation details.									System is very well defined and detailed, although not publicly available. Dataset is very well defined an detailed, although not available at this time (although they indicate it will be available upon acceptance) Training and execution dataset partitions and epochs utilized is well defined.									The method is reproducible.																				
338	Multi-Modal Unsupervised Pre-Training for Surgical Operating Room Workflow Analysis 	The authors present the method in such a manner that it should be reproducible. All the details provided on the checklist were truthful.									According to the materials, the paper is reproducable.									Model parameters are provided in the supplementary document. It is however important to ensure it will be published along with the paper. The used dataset are not publicly available.																				
339	Multimodal-GuideNet: Gaze-Probe Bidirectional Guidance in Obstetric Ultrasound Scanning 	The dataset is not mentioned to be publicly available, but the methodology for data collection and for evaluation are very clearly documented.									No particular issues									The experiments design and data generation are clearly described in the paper, which matches what the authors claimed in the reproducibility checklist.																				
340	Multiple Instance Learning with Mixed Supervision in Gleason Grading 	The combination of limited pixel-level labels with super pixels might cause challenges to reproduce. Suggest the code can be provided.									likely to be reproducible									Training hyper-parameters are complete The settings of backbone and position encoding are provided. The details of masking are missing. The details of limited pixel-level labels are missing.																				
341	Multi-scale Super-resolution Magnetic Resonance Spectroscopic Imaging with Adjustable Sharpness 	Experimental data process depends on the professional tools (LCModel v6.3-1 and FSL v5.0) so that maybe missing the required details for reproducibility of the paper.									I am not so sure for the re-producibility of the paper. The code and the data are not available to aid reproducibility. However, the convergence of the proposed model is not discussed.									The paper gives a clear and detailed description to the experimental details.																				
342	Multiscale Unsupervised Retinal Edema Area Segmentation in OCT Images 	no concerns									The contributions presented in the manuscript should be possible to be reproduced by modifying the base DCCS architecture. The authors have also claimed to release the code after review.									The work might not be reproducible because the AI challenge dataset is no longer available to the public.																				
343	Multi-site Normative Modeling of Diffusion Tensor Imaging Metrics Using Hierarchical Bayesian Regression 	Sufficient details have been provided regarding the datasets. For code, it's stated that PCNtoolkit (https://github.com/amarquand/PCNtoolkit) was used which is a publicly available package, but it is unclear whether the specific codes for the data analysis in this work were part of the package or will be made publicly available to enable reproducing the results.									It should be easy for authors to provide source code for reproducibility analysis.									The reproducibility report seems to be honestly filled out.																				
344	Multi-Task Lung Nodule Detection in Chest Radiographs with a Dual Head Network 	Reproducibility of the paper is high.									Although the author does not give the source code, the network model is not complex and has certain reproducibility, but because all the experimental parameters are not fully explained, the reproduction results may be biased. Of course, it's best to hope that the author publishes the source code.									The source code will not be made available. The paper provides enough details to reproduce the paper.																				
345	Multi-task video enhancement for dental interventions 	This work is not reproducible because neither source code or dataset will be made available.									No explicit signs about whether the dataset will be public available and the code will be released or not.									No code/dataset link has been provided																				
346	Multi-TransSP: Multimodal Transformer for Survival Prediction of Nasopharyngeal Carcinoma Patients 	The paper uses in-house dataset which introduces concern on reproducibility.									The dataset demographics and non-imaging features needs clarification, otherwise it is reproducible.									The experimental details are sufficiently provided in the text, and the authors indicate that they will make the corresponding code available. However, they will not make the in-house dataset used in this study publicly available.																				
347	Multi-view Local Co-occurrence and Global Consistency Learning Improve Mammogram Classification Generalisation 	Okay.									The authors declined to provide the code and the value for hyperparameters is not mentioned in the paper so the result is not reproducible.									The detailed structure of each component is required for reproduction. Two private datasets are used in the experiments.																				
348	MUSCLE: Multi-task Self-supervised Continual Learning to Pre-train Deep Models for X-ray Images of Multiple Body Parts 	There are lots of detailed information that is neccesary to be realized for this work, because they employed three learning schemes for one well-testified task.									The reproducibility of this paper is good, the algorithm is relatively easy to implement.									The paper has descriptions on some of the hyperparameters (learning rate schedule, weight decay, DNN architectures) and training methodology that could be useful in reproducing the results.																				
349	NAF: Neural Attenuation Fields for Sparse-View CBCT Reconstruction 	The method should be very well reproducible with the provided information and the code is promised to be released.									The training of the hash encoder is not clear. Is the hash function trained jointly with the fully-connected deep neural network? The setting of the sampling quantity is not clear.									The authors followed the ethical rules.																				
350	NerveFormer: A Cross-Sample Aggregation Network for Corneal Nerve Segmentation 	The explanation gives an ide of implementation. Still, it would be difficult, if not impossible, to fully reproduce this work - there are many implementations choices not covered.									Based on the description in the paper, it is difficult to reproduce the exact result due to missing details. No code is publicly available.									The detailed network architecture is not included in the paper. But the authors commit to releasing the code in the reproducibility checklist.																				
351	NestedFormer: Nested Modality-Aware Transformer for Brain Tumor Segmentation 	The work is reproducible									The method proposes quite a few unique blocks in Nestedformer, making it hard to implement. The author could consider to provide the model source code to help reproduce the results.									If one reads this paper carefully, it is possible to implement NestedFormer. It is possible to perform experiments with BratS2020, but not with MeniSeg.																				
352	Neural Annotation Refinement: Development of a New 3D Dataset for Adrenal Gland Analysis 	The authors don't have the central tendency & variation as they claimed.									all codes are available.									Code is attached in the supplementrary materials although I personally did not run it. The authors promise to release the dataset too.																				
353	Neural Rendering for Stereo 3D Reconstruction of Deformable Tissues in Robotic Surgery 	It is not clear whether the data will be made public.									It is easy to reproduce the work of this paper with released data and code.									The code will be available which is great. Thanks to the authors.																				
354	Neuro-RDM: An Explainable Neural Network Landscape of Reaction-Diffusion Model for Cognitive Task Recognition 	Reproducibility statement is acceptable.									Very high. As aforementioned, with a little more description in the generation of the model forward, I think one should not have problems to replicate the experiments and reproduce the results									Upon reading the paper and the checklist, I found several inconsistencies. For example, I found no description of the parameter settings, architecture, range of parameter values, sensitivity to parameters, memory footprint or compute software in the paper.																				
355	Noise transfer for unsupervised domain adaptation of retinal OCT images 	The SVDNA transfer method (Algorithm 1) is fairly straightforward.									Code will be available upon acceptance Public datasets/benchmarks are used									The proposed method are described in details and the full code implementation will be made available, which would make it easy to reproduce the methods.																				
356	Noise2SR: Learning to Denoise from Super-Resolved Single Noisy Fluorescence Image 	The author provides the code and all the information necessary to reproduce the results.									Yes. The paper provides enough details and the algorithm itself is easy to implement.									The authors have provided a link to the dataset and have agreed to provide train-test dataset splits.																				
357	Non-iterative Coarse-to-fine Registration based on Single-pass Deep Cumulative Learning 	It is very nice that the code will be available and the dataset is public.									Authors will submit codes on Github.									The paper meets the standard requirement in terms of reproducibility.																				
358	Nonlinear Conditional Time-varying Granger Causality of Task fMRI via Deep Stacking Networks and Adaptive Convolutional Kernels 	The synthetic dataset is probably reproducible, the other dataset will be probably distribute after acceptance									Implementing the network proposed in this work and performing the reproducible study is feasible (although complex) given the Fig. 2 and section 2.1. It will be better if the author can provide the source code for generating the synthetic data as well for further reproducible experiments.									Code are not included, but there are sufficient details for reproducing the results.																				
359	Nonlinear Regression of Remaining Surgical Duration via Bayesian LSTM-based Deep Negative Correlation Learning 	This work was implemented on the public dataset cataract-101 and a reference implementation model is provided. Network settings and hyperparameters are detailed in the text to ensure good reproducibility.									The method description is mostly very clear and detailed. The authors also promise to publish their code. Some details could be clarified: What kind of statistical test was used to obtain the p-values? Was 6-fold cross-validation performed like in CataNet or were all 81 videos used for training? In the former case, what validation metric was used to select the best model after training (e.g. MAE-ALL or loss)? In the latter case, how often were experiments repeated? How were the MAE scores computed from multiple models (either through cross-val or repeated experiments)? Are predictions from multiple models averaged to compute one score or are multiple scores computed and then averaged? It appears that the authors report the mean and standard deviation over surgeries but this is not specified in the paper. I am not sure what exactly the ablation 'w/o DNCL' means. Is simply the loss term from eq. 3 removed or is it a non-ensemble variant with only one LSTM prediction head?									The experiments are conducted on public dataset. The code will be released.																				
360	NVUM: Non-Volatile Unbiased Memory for Robust Medical Image Classification 	The method is relatively simple and the implemental details are clear. So i think this paper has good reproducibility.									The implementation is enough for the reproducibility of the paper.									As the author indicates in Abstract, the code will be made available. In addition, the training hyper-parameters and preprocessing method are provided in paper. The datasets and model backbone are all open accessed. Thus, the work should be reproducible.																				
361	On Surgical Planning of Percutaneous Nephrolithotomy with Patient-Specific CTRs 	The paper describes the generation of point clouds using Slicer3D. More detail would help with respect to filters and marching operations used to segment the CT data. Answers to reproducibility checklist make sense and the authors do a good job explaining the algorithm and tools they used.									The optimization problem and the libraries used to solve them are clearly described. The actual values used for the optimization problem are missing (every variable in (4) should be defined as a real number) as are any hyperparameters such as stopping criteria. The small patient sample limits the reproducibility of the results.									he dataset is very small, but for primary results it's ok																				
362	On the Dataset Quality Control for Image Registration Evaluation 	The paper uses publicly available data sets. The authors do not provide the code required to construct the variograms, however their description of the algorithm used is sufficient for this.  I am not confident of the reproducibility of the remainder of the classification process. As described it sounds like it may be quite operator dependent. I think the authors need to better formalise this part of the algorithm.									Data will be reproducible.									The method is clearly detailed and could be easily reproduced. Providing the code would be a plus, so that future dataset providers could use it while checking their annotations.																				
363	On the Uncertain Single-View Depths in Colonoscopies 	The paper lacks reproducibility but the novelties are well discusses and can be implemented by the reader. The paper could contain an appendix with details on their architecture and training methods. Metrics not well explained. It is a shame that a lot of the points on the given reproducibility list are not provided (the authors are honest and open about it though. The paper could be a lot better on this front by including these details. I have the strong feeling that the page limit has had a strong negative impact on the complete description of this interesting work.									Methods applied the paper are well referenced.									Reproducibility needs improvement. Model training details like hyperparameters used are not present in the current manuscript.																				
364	One-Shot Segmentation of Novel White Matter Tracts via Extensive Data Augmentation 	The paper has some descriptions of the methodology with provided equations, which should help the readers to understand the main idea of the work and reproduce its algorithm. Though it is still suggested for the authors to provide the source code online, which can be used to fully validate the proposed method and understand its mechanism.									The authors use open available data of the HPC. The authors use TractSeg as backbone, for which code is available. No code is provided in for the framework their paper is based on, nor in their paper. However, mathematical definitions are provided and based on the checklist the reproducibility seems to be given.									good																				
365	Online Easy Example Mining for Weakly-supervised Gland Segmentation from Histology Images 	Reproducibility is fine.									Reproduction is difficult because the method description is not clear enough.									Descriptions of the method are sound. Authors will provide code upon acceptance.																				
366	Online Reflective Learning for Robust Medical Image Segmentation 	I have the concern on the statistical significance analysis. I suggest the authors to address it.									Overall the method is well explained, but several components are not clear.  Please see below.									Reproducible if the code is released.																				
367	OnlyCaps-Net, a capsule only based neural network for 2D and 3D semantic segmentation 	Work can be reproducible.									This paper seems reproducible since the formulas are given (even in not always very clear to me).									The authot won't release any code or dataset																				
368	Only-Train-Once MR Fingerprinting for Magnetization Transfer Contrast Quantification 	Negative for the reproducibility of the paper, because they did not share their codes.									The reproducibility metrics have been met									The proposed method is well described though the code is not made available																				
369	Opinions Vary? Diagnosis First! 	Reproducibility is quite well covered in terms of method explanation, data and implementation details.									developed codes are not shared. data is publicly available									The code may reproducible based on the paper descriptions.																				
370	Opportunistic Incidence Prediction of Multiple Chronic Diseases from Abdominal CT Imaging Using Multi-Task Learning 	This paper will only be reproducible if the database is made publicly available. Otherwise, it is straightforward to implement.									The code of this work was not provided and the detail of proposed network have not been explained clearly. The reproducibility is slightly worse.									I think the details wrt the methodology is there but I think the actual data utilised after slice selections is an important aspect to share as often the methods are clear but when one tries to replicate the data ithe outcomes may create vastly different results.																				
371	Optimal MRI Undersampling Patterns for Pathology Localization 	Please provide the code.									The authors have presented their developed tool as supplementary material, making their approach and analysis reproducible.									The optimization implementation details are needed for reproducibility. The hyper parameters are given in the supplementary files.																				
372	Optimal Transport based Ordinal Pattern Tree Kernel for Brain Disease Diagnosis 	The paper is well explained and algorithms are detailed in a way that favours reproducibility									The reproducibility is okay. However, a more detailed description of OT will help further improve it.									No code is provided.																				
373	ORF-Net: Deep Omni-supervised Rib Fracture Detection from Chest CT Scans 	Positive if code and the private dataset is released.									Enough information to reproduce.									With more details about the proposed method, the paper should be fairly easy to reproduce.																				
374	Orientation-guided Graph Convolutional Network for Bone Surface Segmentation 	Although the authors indicated that the data and code would be available publicly, no information is provided in the paper. In other words, the paper does not indicate when and how the code or data will be made available.									The authors provide details of the method used, however it is not clear if the data itself is sharable.									The paper has a reasonable level of repeatability, providing details about the hyperparameters and systems used. The authors also indicate that code will be made available. The dataset appears to be acquired internally but the authors indicate in the reproducibility checklist that the dataset could be accessed by others.																				
375	Orientation-Shared Convolution Representation for CT Metal Artifact Learning 	The authors will release the code and the trained model after acceptance, which is very helpful for the community.									Good									The paper will not be reproducible without code. The description lacks to many details. However, the authors promise to release their code which would render this point moot. If the code is published the method should be well reproducible.																				
376	Out-of-Distribution Detection for Long-tailed and Fine-grained Skin Lesion Images 	The used framework is not mentioned.  The imaging modality for the inhouse dataset is not mentioned.  Sensitivity regarding hyperparameters is missing									"Regarding #1 in weaknesses, please ellaborate more on the prototype learning part. What is the standard prototype loss? How do you know/compute the class specific prototypes {p_i,p_j}? Why does the authors think it will help detecting the fine-grained samples in the dataset? Regarding #2 in weaknesses, please provide more details on the confidence score computing. Is that the predicted softmax probabilities? It would be interesting and more convincing to readers to see statistcal significance of the reported results. I guess the reported results on the in-house dataset is on the test set, but on ISIC2019 the authors report results on the validation set (cross-validation). That needs to be mentioned in the text, e.g. in section 3.1. ""It can further be noted that our proposed approach of M-T mixup (MX5) strategy combined with prototype learning performs the best for OOD detection of all different categories while maintaining or slightly improving the overall ID performance compared to the baseline on both the datasets."" I disagree, the proposed strategy gives the best for OOD detection, but it does not improve the overall ID performance compared to other methods, as seen from table 2. For example, ARPL is consistently better than the proposed method on the in-house dataset. This is okay as the method is primarily an OOD method, but the sentence above needs to be adjusted. Table 2: please either make all best scores in bold or unbold all numbers. For example, in the pre and rec columns for the in-house dataset, there are no bold values, unlike the rest of the table. What are the values of the different lambdas used in your experiments, e.g. in eq. 2, eq. 3, lambda_mse, and lambdas in fig. 2? You might mention only the values used for the best performing method (MX5) in the main text and move the rest to an appendix. You might also want to use a better notation for clarity, rather than refering to all of them as lambda. Minor:  8.1: ""... verified dermoscopic images categorized amongst 65 different ..."": might be better to say categorized into  8.2: ""... This simple technique has shown to increase ..."": has been shown  8.3: ""... thus limiting it's advantages ..."": its  8.4: ""... which are the standard parameters for measuring ..."": these are metrics not parameters"									The authors give some details on the used private dataset and also describe how they used the ISIC dataset. The authors provide reasonable amount of information on the training and implementation, as well as on the metrics being used.																				
377	Overlooked Trustworthiness of Saliency Maps 	ok.									Experiments were done with a public dataset (CheXpert). Code will be made available. Reproducibility is guaranteed.									The authors provide enough information for reproducing the reported results.																				
378	Parameter-free latent space transformer for zero-shot bidirectional cross-modality liver segmentation 	The reproducibility of the paper is adequate with open datasets. Code / models do not appear to be shared.									The idea is clear. it is easy to be reproduced.									This paper uses the LST method proposed by itself and a common backbone to form the model architecture. The dataset adopts the public dataset. For the LST method proposed by the author, the specific calculation formula and brief derivation process are given in the paper, which is less difficult to reproduce. On the whole, it has high reproducibility.																				
379	Patcher: Patch Transformers with Mixture of Experts for Precise Medical Image Segmentation 	The authors have claimed that they will release code, trained models, and results.									All the code and models will be released.									The authors will release the code upon paper acceptance. The implementation details in the paper could be enough to reproduce the network architecture. The stroke lesion dataset is private, making future result-proofing and comparison impossible in that dataset.																				
380	Patch-wise Deep Metric Learning for Unsupervised Low-Dose CT Denoising 	Good.									The approach is quite difficult to reproduce. On the one hand, it's not clear to know about the specific setting of the forward processing of the generative adversarial network, such as the convolution blocks. On the other hand, the description of the datasets and the experiment implementation is insufficient. Especially for the AAPM challenge, even the quantity and the division of the dataset are not given.									Reproducibility is sufficient. All implementation and dataset details are provided.																				
381	PD-DWI: Predicting response to neoadjuvant chemotherapy in invasive breast cancer with Physiologically-Decomposed Diffusion-Weighted MRI machine-learning model 	The dataset (part of a challenge) and experiments are very clearly described. Code will be made publicly available.									No issues.									The data was from BMMR2 challenge (https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=89096426), and the authors would provide the code and trained models upon acceptance. I think the reproducibility of the paper was good.																				
382	Personalized Diagnostic Tool for Thyroid Cancer Classification using Multi-view Ultrasound 	The implementation steps of the three main contributions are very well explained. An in-house dataset is used for the evaluation. There is no information regarding the data acquisition process.									The description of the data collection process is not completed, such as descriptions of the experimental setup, device(s) used, image acquisition parameters, subjects/objects involved, instructions to annotators, and methods for quality control. Were the 4529 sets of multiview US images collected from 4529 patients or not?									The results in this paper are easily reproducible.																				
383	Personalized dMRI Harmonization on Cortical Surface 	I don't see any limitations on the reproducibility.									Study can be reproduced									Not reproducible - although publicly available datasets are used, implementation code has not been made available																				
384	PET denoising and uncertainty estimation based on NVAE model using quantile regression loss 	"The authors ticked ""Yes"" for most items of the reproductibility checklist, which is sometimes in contradiction with what is provided in the paper (e.g. range of hyper-parameters considered). It seems that the code will be made available."									The authors did not provide their statement on code availability. This would be highly desirable.									ok																				
385	PHTrans: Parallelly Aggregating Global and Local Representations for Medical Image Segmentation 	I think the paper is reproducible.									I think some numerical results of baselines are not consistent with other one. For example, in the same dataset of BCV dataset, nnUNet (most important medical image segmentation model) from UNETR(https://arxiv.org/pdf/2103.10504.pdf, table 1) is 88.8, while in this paper it is only 87.75 and PHTrans is only 88.55. I have added my comments below if the train&val dataset are not split identically.									implementation details are provided, code is not submitted																				
386	Physically Inspired Constraint for Unsupervised Regularized Ultrasound Elastography 	Reproducibility is adequate from the clear mathematical derivation.									OK									The code will be publicly available after the paper acceptance. Hence, the reproducibility seems fine.																				
387	Physiological Model based Deep Learning Framework for Cardiac TMP Recovery 	Data can be reproduced from publicly available sources, although the specific data for training is not specified.  Little detail is provided in the generation of the data. Source  code for the method is not provided. Not enough information is provided with regards to  validation.									The paper lacks in sharing details about implementation and network architecture and it's not open source. It uses a software to generate simulated data but generation parameters are not shared and the generated data is not shared. This will likely make it impossible to reproduce the results.									Authors will make the code available.																				
388	Physiology-based simulation of the retinal vasculature enables annotation-free segmentation of OCT angiographs 	"Despite github links have been provided for third party implementation of the networks and experimental settings, these details are not described in the paper. This is important, as repositories evolve, while reported results are fixed to a given version. Should the authors cite the paper (i.e. [16]), and ensure that the repository version used is preserving the settings reported, and otherwise tell the difference. Moreover, the cited paper/repository from Ma et al. IEEE TMI:40(3) 2020 [16], reports a fixed number of epochs with exponential learning rate decay (which requires a fixed number of epochs). Instead, the authors report that they ""introduce a validation split for model selection"", which indicates the use of an stopping criterion that is not specified. This is a relevant detail for reproducibility that is not sufficiently described."									The notes on reproducibility seems satisfactory									It is still necessary to further explain the implementation details, such as the selection of three-dimensional deformation-related parameters, node positioning when simulating a blood vessel tree, etc., to ensure the repeatable implementation of the method.																				
389	Point Beyond Class: A Benchmark for Weakly Semi-Supervised Abnormality Localization in Chest X-Rays 	The author did not mention the code in the paper, but according to the checklist, it seems they will release the code after acceptation. Please make clear. I suggest that at least release the splitting of the training set and the test set, which may help in pursuing the goal of setting a benchmark for the field.									Although the dataset is generally available, I do not see the code for replicting it. The result may be reproducible.									Although the code is not made public, the data used is publicly available. The author's new method is also clearly explained and the parameters for each experiment / augmentation are given. So while these exact results are not reproducible based the information present in the paper, I would expect that similar results could be reproduced when implementing from scratch.																				
390	Poisson2Sparse: Self-Supervised Poisson Denoising From a Single Image 	Convincing									The reproducibility is good. Datasets and code are available. Only possibility for major improvement is the inclusion of the pre-trained model.									Good reproducibility																				
391	Pose-based Tremor Classification for Parkinson's Disease Diagnosis from Video 	Its reproducibility is very high. The method and parameter explanations are excellent, and the data-related parts and learning environment are also well explained. I look forward to the code release of this paper.									It is very difficult to reproduce the paper and achieved results from description of the manuscript. The authors use a subset and crop the videos but any of this information is reported.									According to the authors, the code will be made public and the dataset is publicly available.																				
392	Position-prior Clustering-based Self-attention Module for Knee Cartilage Segmentation 	The reproducibility of the PCAM is not difficult.									The code is not provided and the reproducibility is questionable.									Please include a link to the code within the paper.																				
393	Predicting molecular traits from tissue morphology through self-interactive multi-instance learning 	"On page 6, it states that ""more details are available in the (temporarily anonymous) source code"", but its URL is missing."									Good.									Publicly available datasets. Code release promise. Clear description of they utilized hyper-parameters.																				
394	Predicting Spatio-Temporal Human Brain Response Using fMRI 	The reproducibility of the paper can be improved after the author completing the missing technical details.									Reasonable									I think this work is reproducible.																				
395	Privacy Preserving Image Registration 	Good enough, a bit more details about the software implementation framework & programming languages could be mentioned.									The reproducibility should be good.									The authors have indicated the source code will not be available (not aplicable). I am not very sure regarding the reproducibility of the paper.																				
396	ProCo: Prototype-aware Contrastive Learning for Long-tailed Medical Image Classification 	The overall learning scheme is clear but it is hard to reproduce, and the review highly suggest the authors release their codes.									I think the paper could be reproduced but I have no access to source code.									The proposed method is evaluated using two publicly available datasets, and most of the hyperparameters are included. Authors claimed in the Reproducibility Response that they will release code once the paper is accepted, but no reference to that is included in the text.																				
